plugin_id,severity,plugin_name,description,solution,asset_ip,port,protocol
21745,0,Authentication Failure - Local Checks Not Run,Local security checks have been disabled for this host because either the credentials supplied in the scan policy did not allow Nessus to log into it or some other problem occurred.,Address the problem(s) so that local security checks are enabled.,10.147.160.11,0,tcp
104410,0,Authentication Failure(s) for Provided Credentials,Nessus was not able to execute credentialed checks because it was not possible to log into the detected operating system or database using the credentials that have been provided.,Address the reported problem(s) so that credentialed checks can be executed.,10.147.160.11,445,tcp
19506,0,Nessus Scan Information,"This plugin displays, for each tested host, information about the scan itself :

  - The version of the plugin set.
  - The type of scanner (Nessus or Nessus Home).
  - The version of the Nessus Engine.
  - The port scanner(s) used.
  - The port range scanned.
  - Whether credentialed or third-party patch management     checks are possible.
  - The date of the scan.
  - The duration of the scan.
  - The number of hosts scanned in parallel.
  - The number of checks done in parallel.",n/a,10.147.160.11,0,tcp
46180,0,Additional DNS Hostnames,"Hostnames different from the current hostname have been collected by miscellaneous plugins. Nessus has generated a list of hostnames that point to the remote host. Note that these are only the alternate hostnames for vhosts discovered on a web server.

Different web servers may be hosted on name-based virtual hosts.","If you want to test them, re-scan using the special vhost syntax, such as :

www.example.com[192.0.32.10]",10.147.160.11,0,tcp
45590,0,Common Platform Enumeration (CPE),"By using information obtained from a Nessus scan, this plugin reports CPE (Common Platform Enumeration) matches for various hardware and software products found on a host. 

Note that if an official CPE is not available for the product, this plugin computes the best possible CPE based on the information available from the scan.",n/a,10.147.160.11,0,tcp
54615,0,Device Type,"Based on the remote operating system, it is possible to determine what the remote system type is (eg: a printer, router, general-purpose computer, etc).",n/a,10.147.160.11,0,tcp
11936,0,OS Identification,"Using a combination of remote probes (e.g., TCP/IP, SMB, HTTP, NTP, SNMP, etc.), it is possible to guess the name of the remote operating system in use. It is also possible sometimes to guess the version of the operating system.",n/a,10.147.160.11,0,tcp
35716,0,Ethernet Card Manufacturer Detection,Each ethernet MAC address starts with a 24-bit Organizationally Unique Identifier (OUI). These OUIs are registered by IEEE.,n/a,10.147.160.11,0,tcp
86420,0,Ethernet MAC Addresses,"This plugin gathers MAC addresses discovered from both remote probing of the host (e.g. SNMP and Netbios) and from running local checks (e.g. ifconfig). It then consolidates the MAC addresses into a single, unique, and uniform list.",n/a,10.147.160.11,0,tcp
35712,0,Web Server UPnP Detection,Nessus was able to extract some information about the UPnP-enabled device by querying this web server. Services may also be reachable through SOAP requests.,Filter incoming traffic to this port if desired.,10.147.160.11,2869,tcp
35712,0,Web Server UPnP Detection,Nessus was able to extract some information about the UPnP-enabled device by querying this web server. Services may also be reachable through SOAP requests.,Filter incoming traffic to this port if desired.,10.147.160.11,2869,tcp
57608,2,SMB Signing not required,"Signing is not required on the remote SMB server. An unauthenticated, remote attacker can exploit this to conduct man-in-the-middle attacks against the SMB server.","Enforce message signing in the host's configuration. On Windows, this is found in the policy setting 'Microsoft network server: Digitally sign communications (always)'. On Samba, the setting is called 'server signing'. See the 'see also' links for further details.",10.147.160.11,445,tcp
11153,0,Service Detection (HELP Request),It was possible to identify the remote service by its banner or by looking at the error message it sends when it receives a 'HELP' request.,n/a,10.147.160.11,2869,tcp
20301,0,VMware ESX/GSX Server detection,"According to its banner, the remote host appears to be running a VMware server authentication daemon, which likely indicates the remote host is running VMware Server, ESX Server, or GSX Server.",n/a,10.147.160.11,912,tcp
20301,0,VMware ESX/GSX Server detection,"According to its banner, the remote host appears to be running a VMware server authentication daemon, which likely indicates the remote host is running VMware Server, ESX Server, or GSX Server.",n/a,10.147.160.11,902,tcp
22964,0,Service Detection,Nessus was able to identify the remote service by its banner or by looking at the error message it sends when it receives an HTTP request.,n/a,10.147.160.11,912,tcp
22964,0,Service Detection,Nessus was able to identify the remote service by its banner or by looking at the error message it sends when it receives an HTTP request.,n/a,10.147.160.11,902,tcp
106716,0,Microsoft Windows SMB2 Dialects Supported (remote check),Nessus was able to obtain the set of SMB2 dialects running on the remote host by sending an authentication request to port 139 or 445.,n/a,10.147.160.11,445,tcp
25220,0,TCP/IP Timestamps Supported,"The remote host implements TCP timestamps, as defined by RFC1323.  A side effect of this feature is that the uptime of the remote host can sometimes be computed.",n/a,10.147.160.11,0,tcp
66717,0,mDNS Detection (Local Network),"The remote service understands the Bonjour (also known as ZeroConf or mDNS) protocol, which allows anyone to uncover information from the remote host such as its operating system type and exact version, its hostname, and the list of services it is running. 

This plugin attempts to discover mDNS used by hosts residing on the same network segment as Nessus.","Filter incoming traffic to UDP port 5353, if desired.",10.147.160.11,5353,udp
53513,0,Link-Local Multicast Name Resolution (LLMNR) Detection,The remote device answered to a Link-local Multicast Name Resolution (LLMNR) request.  This protocol provides a name lookup service similar to NetBIOS or DNS.  It is enabled by default on modern Windows versions.,Make sure that use of this software conforms to your organization's acceptable use and security policies.,10.147.160.11,5355,udp
